russian,english
Уровень 2: Удар паладина,Level 2: Paladin’s Smite
"Вы всегда имеете заклинание Божественный удар подготовленным. Кроме того, вы можете произносить его, не тратя ячейку заклинания, но вы должны закончить долгий отдых, прежде чем сможете произнести его таким способом снова.","You always have the Divine Smite spell prepared. In addition, you can cast it without expending a spell slot, but you must finish a Long Rest before you can cast it in this way again."
Удар паладина,Paladin’s Smite
"Вы можете произносить Божественный удар без затрат ячейки заклинания, но вы должны закончить долгий отдых, прежде чем сможете произнести его таким способом снова.","You can cast Divine Smite without expending a spell slot, but you must finish a Long Rest before you can cast it in this way again."
Уровень 5: Верный скакун,Level 5: Faithful Steed
"Вы можете призвать на помощь потустороннего скакуна. Вы всегда имеете заклинание Обретение скакуна подготовленным.<br><br>Вы также можете произнести заклинание один раз без затрат ячейки заклинания, и вы получаете возможность сделать это, когда закончите долгий отдых.","You can call on the aid of an otherworldly steed. You always have the Find Steed spell prepared.<br><br>You can also cast the spell once without expending a spell slot, and you regain the ability to do so when you finish a Long Rest."
Верный скакун,Faithful Steed
"Вы также можете произнести Обретение скакуна один раз без затрат ячейки заклинания, и вы получаете возможность сделать это, когда закончите долгий отдых.","You can also cast Find Steed once without expending a spell slot, and you regain the ability to do so when you finish a Long Rest."
Обретение скакуна,Find Steed
"Вы вызываете потустороннего скакуна и сразу же восседаете на нём.<br><br>Скакун может выполнить одно из следующих действий на ваш выбор в ходе каждого своего хода: Рывок, Отступление, Уклонение или Атака.<br><br>Пока вы восседаете на скакуне, когда вы получаете урон 4 и более, вы должны совершить испытание Ловкости с КС 8. При провале спасения вы падаете со скакуна и имеете состояние Сбитый с ног в течение 1 хода.<br><br><br>Только тот, у кого чистое сердце, может видеть скакуна.","You summon an otherworldly steed and immediately mount it.<br><br>The steed can take one of the following actions of your choice on each of its turns: Dash, Disengage, Dodge, or Attack.<br><br>While mounted on the steed, when you take damage of 4 or higher, you must make a DC 8 Dexterity saving throw. On a failed save, you fall off the steed and have the Prone condition for 1 turn.<br><br><br>Only a player with a pure heart can see the steed."
"Вы вызываете потустороннего скакуна и сразу же восседаете на нём.<br><br>Скакун может выполнить одно из следующих действий на ваш выбор в ходе каждого своего хода: Рывок, Отступление, Уклонение или Атака.<br><br>Пока вы восседаете на скакуне, когда вы получаете урон 4 и более, вы должны совершить испытание Ловкости с КС 8. При провале спасения вы падаете со скакуна и имеете состояние Сбитый с ног в течение 1 хода.","You summon an otherworldly steed and immediately mount it.<br><br>The steed can take one of the following actions of your choice on each of its turns: Dash, Disengage, Dodge, or Attack.<br><br>While mounted on the steed, when you take damage of 4 or higher, you must make a DC 8 Dexterity saving throw. On a failed save, you fall off the steed and have the Prone condition for 1 turn."
Очко действия скакуна,Steed Action Point
"Скакун может выполнить одно из следующих действий на ваш выбор в ходе каждого своего хода: Рывок, Отступление, Уклонение или Атака.","The steed can take one of the following actions of your choice on each of its turns: Dash, Disengage, Dodge, or Attack."
Удар,Slam
Уклонение,Dodging
"Фокусировка на избегании атак.<br><Br><LSTag Tooltip=""AttackRoll"">Броски атаки</LSTag> против затрагиваемой сущности имеют <LSTag Tooltip=""Disadvantage"">помеху</LSTag>, и сущность имеет <LSTag Tooltip=""Advantage"">преимущество</LSTag> на <LSTag Tooltip=""SavingThrow"">испытания</LSTag> Ловкости.","Focusing on avoiding attacks.<br><Br><LSTag Tooltip=""AttackRoll"">Attack Rolls</LSTag> against the affected entity have <LSTag Tooltip=""Disadvantage"">Disadvantage</LSTag>, and the entity has <LSTag Tooltip=""Advantage"">Advantage</LSTag> on Dexterity <LSTag Tooltip=""SavingThrow"">Saving Throws</LSTag>."
Уровень 9: Изгнание врагов,Level 9: Abjure Foes
"Как действие Магия, вы можете израсходовать одно из своих использований Направления клятвы этого класса, чтобы подавить врагов благоговением. Когда вы демонстрируете свой Святой Знак или оружие, вы можете выбрать число существ, равное модификатору Харизмы (минимум одно существо), которое видите в пределах [1] от себя. Каждая цель должна успешно преодолеть испытание Мудрости или получить состояние Испуганный на 1 минуту.","As a Magic action, you can expend one use of this class’s Channel Oath to overwhelm foes with awe. As you present your Holy Symbol or weapon, you can target a number of creatures equal to your Charisma modifier (minimum of one creature) that you can see within [1] of yourself. Each target must succeed on a Wisdom saving throw or have the Frightened condition for 1 minute."
Изгнание врагов,Abjure Foes
Уровень 11: Излучающие удары,Level 11: Radiant Strikes
"Ваши удары теперь несут сверхъестественную силу. Когда вы попадаете по цели благодаря броску атаки с использованием оружия ближнего боя или Безоружной атаки, цель получает дополнительный урон 1d8 излучением.","Your strikes now carry supernatural power. When you hit a target with an attack roll using a Melee weapon or an Unarmed Strike, the target takes an extra 1d8 Radiant damage."
"Паладин и близкие союзники имеют Сопротивление к некротическому, психическому и урону излучением.","The paladin and nearby allies have Resistance to Necrotic, Psychic, and Radiant damage."
"Вы и любые близкие союзники имеете Сопротивление к некротическому, психическому и урону излучением. Аура исчезает, если вы становитесь Бессознательным.","You and any nearby allies have Resistance to Necrotic, Psychic, and Radiant damage. The aura disappears if you fall Unconscious."
уровень 7: Неутомимый мститель,Level 7: Relentless Avenger
"Если вы попадаете по Врагу с помощью <LSTag Tooltip=""OpportunityAttack"">внеочередной атаки</LSTag>, вы можете уменьшить Скорость Существа до 0 до конца текущего хода. И ваша <LSTag Tooltip=""MovementSpeed"">скорость перемещения</LSTag> увеличивается на [1] в ваш следующий ход.","If you hit an enemy with an <LSTag Tooltip=""OpportunityAttack"">Opportunity Attack</LSTag>, you can reduce the creature’s Speed to 0 until the end of the current turn. And your <LSTag Tooltip=""MovementSpeed"">movement speed</LSTag> increases by [1] on your next turn."
Враг «Неутомимый мститель»,Relentless Avenger Foe
"Не может двигаться. Опутан <LSTag Tooltip=""OpportunityAttack"">внеочередной атакой</LSTag> от Неутомимого мстителя.","Can't move. Restrained by an <LSTag Tooltip=""OpportunityAttack"">Opportunity Attack</LSTag> from a Relentless Avenger."
Избранный враг,Favored Enemy
"Вы всегда имеете заклинание «Метка Охотника» подготовленным. Вы можете применять его дважды без затраты ячейки заклинания и восполняете все использованные применения этой способности, когда заканчиваете долгий отдых.<br><br>Количество раз применения заклинания без ячейки заклинания увеличивается, когда вы достигаете определённых уровней следопыта, как показано в столбце «Избранный враг» таблицы «особенности следопыта».","You always have the Hunter’s Mark spell prepared. You can cast it twice without expending a spell slot, and you regain all expended uses of this ability when you finish a Long Rest.<br><br>The number of times you can cast the spell without a spell slot increases when you reach certain Ranger levels, as shown in the Favored Enemy column of the Ranger Features table."
Уровень 1: Избранный враг,Level 1: Favored Enemy
Уровень 6: Скиталец,Level 6: Roving
"Ваша Скорость увеличивается на [1], пока вы не носите тяжёлые доспехи.",Your Speed increases by [1] while you aren’t wearing Heavy armor.
Уровень 10: Неутомимый,Level 10: Tireless
"Природные силы теперь помогают вам в пути. В виде <LSTag>действия Магия</LSTag> вы можете дарить себе количество временных ОЗ, равное 1d8 плюс модификатор Мудрости (минимум 1). Вы можете использовать это действие количество раз, равное вашему модификатору Мудрости (минимум один раз), и восполняете все использованные применения, когда заканчиваете долгий отдых.","Primal forces now help fuel you on your journeys. As a Magic action, you can give yourself a number of Temporary Hit Points equal to 1d8 plus your Wisdom modifier (minimum of 1). You can use this action a number of times equal to your Wisdom modifier (minimum of once), and you regain all expended uses when you finish a Long Rest."
Неутомимый,Tireless
"В виде действия Магия вы можете дарить себе количество временных ОЗ, равное 1d8 плюс модификатор Мудрости (минимум 1). Вы можете использовать это действие количество раз, равное вашему модификатору Мудрости (минимум один раз), и восполняете все использованные применения, когда заканчиваете долгий отдых.","As a Magic action, you can give yourself a number of Temporary Hit Points equal to 1d8 plus your Wisdom modifier (minimum of 1). You can use this action a number of times equal to your Wisdom modifier (minimum of once), and you regain all expended uses when you finish a Long Rest."
"В виде действия Магия вы можете дарить себе количество временных ОЗ, равное 1d8 плюс модификатор Мудрости (минимум 1).","As a Magic action, you can give yourself a number of Temporary Hit Points equal to 1d8 plus your Wisdom modifier (minimum of 1)."
следопыт,Ranger
"Следопыты — непревзойдённые разведчики и искатели следов, оттачивая глубокую связь с Природой, чтобы охотиться на свою избранную добычу.","Rangers are unrivalled scouts and trackers, honing a deep connection with nature in order to hunt their favoured prey."
Уровень 7: Исключительная тренировка,Level 7: Exceptional Training
Уровень 11: Звериная ярость,Level 11: Bestial Fury
Уровень 5: Связь с напарником,Level 5: Companion's Bond
Уровень 3: Страшный Засадачник,Level 3: Dread Ambusher
"Вы овладели искусством создания страшных засад, предоставляя вам следующие преимущества.<br><br>Рывок Засадачника. В начале вашего первого хода в каждом бою ваша Скорость увеличивается на [1] до конца этого хода.<br><br>Страшный Удар. Когда вы атакуете Существо и попадаете по нему оружием, вы можете нанести дополнительный урон [2]. Вы можете использовать это преимущество только раз за ход, вы можете использовать его количество раз, равное вашему модификатору Мудрости (минимум один раз), и восстанавливаете все использованные применения, когда заканчиваете долгий отдых.<br><br>Бонус инициативы. Когда вы бросаете инициативу, вы можете добавить ваш модификатор Мудрости к броску.","You have mastered the art of creating fearsome ambushes, granting you the following benefits.<br><br>Ambusher’s Leap. At the start of your first turn of each combat, your Speed increases by [1] until the end of that turn.<br><br>Dreadful Strike. When you attack a creature and hit it with a weapon, you can deal an extra [2]. You can use this benefit only once per turn, you can use it a number of times equal to your Wisdom modifier (minimum of once), and you regain all expended uses when you finish a Long Rest.<br><br>Initiative Bonus. When you roll Initiative, you can add your Wisdom modifier to the roll."
Скорость перемещения увеличена на [1].,"<LSTag Tooltip=""MovementSpeed"">Movement speed</LSTag> increased by [1]."
Страшный Удар,Dreadful Strike
"Когда вы атакуете Существо и попадаете по нему оружием, вы можете нанести дополнительный 2d6 психического урона. Вы можете использовать это преимущество только раз за ход, вы можете использовать его количество раз, равное вашему модификатору Мудрости (минимум один раз), и восстанавливаете все использованные применения, когда заканчиваете долгий отдых.","When you attack a creature and hit it with a weapon, you can deal an extra 2d6 Psychic damage. You can use this benefit only once per turn, you can use it a number of times equal to your Wisdom modifier (minimum of once), and you regain all expended uses when you finish a Long Rest."
Страшный Удар (Ближний бой),Dreadful Strike (Melee)
Страшный Удар (Дальний бой),Dreadful Strike (Ranged)
Уровень 7: Железная воля,Level 7: Iron Mind
Вы отточили свою способность сопротивляться влияющим на разум силам. Вы получаете умение в испытаниях Мудрости.,You have honed your ability to resist mind-altering powers. You gain proficiency in Wisdom saving throws.
Уровень 11: Бурность следопыта,Level 11: Stalker’s Flurry
"Психический урон от вашего Страшного Удара становится 2d8. Цель должна провести испытание Мудрости против КС испытаний против заклинаний. При неудаче Существо получает состояние Испуганный до начала вашего следующего хода.<br><br>Вы достаточно быстры, чтобы превратить промах в новый удар. Когда вы промахиваетесь атакой оружием, вы можете совершить ещё одну атаку оружием бесплатно.","The Psychic damage of your Dreadful Strike becomes 2d8. The target must make a Wisdom saving throw against your spell save DC. On a failed save, a creature has the Frightened condition until the start of your next turn.<br><br>You are swift enough to turn a miss into a new strike. When you miss with a weapon attack, you can make another weapon attack for free."
Уровень 11: Высшая добыча охотника,Level 11: Superior Hunter’s Prey
Уровень 11: Улучшенная верная атака,"Once per turn when you deal damage to a creature marked by your Hunter’s Mark, you can also deal that spell’s extra damage to a different creature that you can see within [1] of the first creature."
Высшая добыча охотника,Superior Hunter’s Prey
Настойчивый прицел,Steady Aim
"В виде бонусного действия вы получаете преимущество на свой следующий бросок атаки в текущем ходу. Вы можете использовать эту особенность только если вы не двигались в течение этого хода, и после её использования ваша Скорость становится 0 до конца текущего хода.","As a Bonus Action, you give yourself Advantage on your next attack roll on the current turn. You can use this feature only if you haven’t moved during this turn, and after you use it, your Speed is 0 until the end of the current turn."
Уровень 3: Настойчивый прицел,Level 3: Steady Aim
Уровень 7: Надёжный талант,Level 7: Reliable Talent
Уровень 5: Невероятное уклонение,Level 5: Uncanny Dodge
"Вы можете ловко уклоняться от опасностей. Когда вы подвергаетесь эффекту, позволяющему провести испытание Ловкости, чтобы получить лишь половину урона, вы вместо этого не получаете урона, если проходите испытание, и получаете половину урона, если не проходите. Вы не можете использовать эту особенность, если находитесь в состоянии «Недееспособный».","You can nimbly dodge out of the way of certain dangers. When you’re subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw and only half damage if you fail. You can’t use this feature if you have the Incapacitated condition."
"Когда вы подвергаетесь эффекту, позволяющему провести испытание Ловкости, чтобы получить лишь половину урона, вы вместо этого не получаете урона, если проходите испытание, и получаете половину урона, если не проходите.<br><br>Вы не получаете преимуществ от этой особенности, если находитесь в состоянии «Недееспособный».","When you’re subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw and only half damage if you fail.<br><br>You don’t benefit from this feature if you have the Incapacitated condition."
Кости урона от вашей Верной атаки увеличиваются на дополнительные 2d6.,Your Sneak Attack’s damage dice increase by an additional 2d6.
Уровень 9: Магическая засада,Level 9: Magical Ambush
Уровень 3: Магическая рука ловкости,Level 3: Mage Hand Legerdemain
Уровень 3: Ассасинация: Инициатива,Level 3: Assassinate: Initiative
У вас есть преимущество на бросках инициативы.,You have Advantage on Initiative rolls.
Уровень 3: Ассасинация: Внезапные удары,Level 3: Assassinate: Surprising Strikes
"В первом раунде каждого боя у вас есть преимущество на бросках атаки против любого существа, которое ещё не ходило. Если ваша Скрытая атака попадает в какую-либо цель в течение этого раунда, цель получает дополнительный урон типа оружия, равный вашему уровню плута.","During the first round of each combat, you have Advantage on attack rolls against any creature that hasn’t taken a turn. If your Sneak Attack hits any target during that round, the target takes extra damage of the weapon’s type equal to your Rogue level."
Уровень 3: Инструменты убийцы,Level 3: Assassin’s Tools
"Вы получаете Набор для перевоплощения и Набор отравителя, и у вас есть умение с ними.","You gain a Disguise Kit and a Poisoner’s Kit, and you have proficiency with them."
Использовать Набор отравителя: Яд,Use Poisoner’s Kit: Poison
Использовать Набор отравителя: Токсин,Use Poisoner’s Kit: Toxin
Нанести Токсин на текущий экипированный комплект оружия.,Apply Toxin to your currently equipped weapon set.
Нанести Яд на текущий экипированный комплект оружия.,Apply Poison to your currently equipped weapon set.
"Яд, который вы применяете, усиливается каждый раз, когда вы достигаете 5 и 9 уровней плута.",The Poison you apply becomes more potent each time you reach Rogue levels 5 and 9.
Использовать Набор отравителя,Use Poisoner’s Kit
Нанести Яд или Токсин на текущий экипированный комплект оружия.,Apply Poison or Toxin to your currently equipped weapon set.
Блуждающий прицел,Roving Aim
"Как бонусное действие, вы получаете преимущество на свой следующий бросок атаки в текущем ходу.","As a Bonus Action, you give yourself Advantage on your next attack roll on the current turn."
Уровень 9: Блуждающий прицел,Level 9: Roving Aim
Ваша скорость не снижается до 0 при использовании Стабильного прицела.,Your Speed isn’t reduced to 0 by using Steady Aim.
Уровень 3: Быстрые руки,Level 3: Fast Hands
Вы можете использовать Метнуть как бонусное действие.,You can use Throw as a Bonus Action.
Уровень 3: Работа на втором этаже,Level 3: Second-Story Work
Метнуть: Быстрая рука,Throw: Fast Hand
паладин,Paladin
"Обещание, данное настолько глубоко, что оно становится божественным само по себе, течёт через паладина, горя достаточно ярко, чтобы вдохновлять союзников и поражать врагов.","A promise made so deeply that it becomes divine in itself flows through a paladin, burning bright enough to inspire allies and smite foes."
Врождённое чародейство,Innate Sorcery
"Событие из вашего прошлого оставило на вас неизгладимый след, наполнив вас кипящей магией. Как бонусное действие вы можете выпустить эту магию на 1 минуту, в течение которой вы получаете следующие преимущества:<br><br>КС испытаний против заклинаний ваших заклинаний чародея увеличивается на 1.<br>У вас есть преимущество на бросках атаки заклинаний чародея, которые вы произносите.<br><br>Вы можете использовать эту особенность дважды, и восстанавливаете все потраченные применения, когда заканчиваете долгий отдых.","An event in your past left an indelible mark on you, infusing you with simmering magic. As a Bonus Action, you can unleash that magic for 1 minute, during which you gain the following benefits:<br><br>The spell save DC of your Sorcerer spells increases by 1.<br>You have Advantage on the attack rolls of Sorcerer spells you cast.<br><br>You can use this feature twice, and you regain all expended uses of it when you finish a Long Rest."
"Событие из вашего прошлого оставило на вас неизгладимый след, наполнив вас кипящей магией.","An event in your past left an indelible mark on you, infusing you with simmering magic."
Очки чародейства,Sorcery Point(s)
"Очки чародейства являются важной гранью силы чародея. Их можно потратить, чтобы усилить заклинания или доступ к <LSTag Tooltip=""SpellSlot"">слотам заклинаний</LSTag> более высокого уровня.","Sorcery Points are an important facet of a sorcerer's power. They can be spent to augment spells or access higher level <LSTag Tooltip=""SpellSlot"">spell slots</LSTag>."
Метамагия,Metamagic
Вы получаете способность искажать заклинания по своему усмотрению. Выберите один из следующих вариантов Метамагии.<br><br>На уровне чародея 10 вы получаете два дополнительных варианта.,You gain the ability to twist your spells to suit your needs. Choose from the following Metamagic options.<br><br>You gain two more options at Sorcerer level 10.
Восстановление чародея,Sorcerous Restoration
"Вы восстанавливаете Очки чародейства, равные половине вашего максимума.",You regain Sorcery Points equal to half your maximum.
Уровень 7: Воплощение чародейства,Level 7: Sorcery Incarnate
"Если у вас нет доступных применений Врождённого чародейства, вы можете использовать его, если потратите 2 Очка чародейства при принятии бонусного действия для его активации.<br><br>Дополнительно, пока ваша особенность Врождённое чародейство активна, КС испытаний против заклинаний увеличивается на 2, а не на 1.","If you have no uses of Innate Sorcery left, you can use it if you spend 2 Sorcery Points when you take the Bonus Action to activate it.<br><br>In addition, while your Innate Sorcery feature is active, your spell save DC increases by 2, rather than 1."
Чародейский выброс,Sorcerous Burst
"Вы выпускаете энергию чародея в одно существо или объект в пределах досягаемости. Совершите дальнейшую магическую атаку по цели. При попадании цель получает урон, выбранный вами: Кислота, Холод, Огонь, Молния, Яд, Психическая энергия или Гром.<br><br>Иногда магия вспыхивает и наносит дополнительный урон. Вероятность магического всплеска увеличивается каждый раз, когда урон этого фокуса возрастает на более высоких уровнях.","You cast sorcerous energy at one creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes damage of a type you choose: Acid, Cold, Fire, Lightning, Poison, Psychic, or Thunder.<br><br>Sometimes the magic surges and deals additional damage. The chance of a magical surge increases each time this cantrip’s damage increases at higher levels."
Мистическая бодрость,Arcane Vigor
"Вы черпаете из своей жизненной силы, чтобы исцелить себя.",You tap into your life force to heal yourself.
Магическая хитрость,Magical Cunning
"Вы можете совершить эзотерический ритуал на 1 минуту. В его завершении вы восстанавливаете использованные слоты заклинаний Договора, но не более чем количество, равное половине от вашего максимума (округляется вверх). После использования этой особенности вы не можете повторить это, пока не закончите долгий отдых.","You can perform an esoteric rite for 1 minute. At the end of it, you regain expended Pact Magic spell slots but no more than a number equal to half your maximum (round up). Once you use this feature, you can’t do so again until you finish a Long Rest."
Уровень 1: Эльдрический разум,Level 1: Eldritch Mind
"У вас есть преимущество на испытания Телосложения, которые вы совершаете для поддержания концентрации.",You have Advantage on Constitution saving throws that you make to maintain Concentration.
Уровень 11: Улучшенная обманчивая атака,Level 11: Improved Sneak Attack
Уровень 1: Пакт клинка,Level 1: Pact of the Blade
Уровень 1: Пакт цепи,Level 1: Pact of the Chain
Уровень 1: Пакт тома,Level 1: Pact of the Tome
Уровень 1: Броня теней,Level 1: Armour of Shadows
Уровень 2: Мучительный выстрел,Level 2: Agonising Blast
Уровень 2: Дьявольский взгляд,Level 2: Devil's Sight
Уровень 2: Эльдрич копье,Level 2: Eldritch Spear
Уровень 2: Маска множества лиц,Level 2: Mask of Many Faces
Уровень 2: Потусторонний прыжок,Level 2: Otherworldly Leap
Уровень 2: Отталкивающий выстрел,Level 2: Repelling Blast
Уровень 5: Эльдрич удар,Level 5: Eldritch Smite
"Раз в ход, когда вы пораженете существо своим оружием пакта, вы можете потратить ячейку заклинания магии пакта, чтобы нанести цели дополнительный силовой урон 1d8, плюс 1d8 за каждый уровень ячейки заклинания, и придать цели Состояние Сбитый с ног, если она Размера Огромная или меньше.","Once per turn when you hit a creature with your pact weapon, you can expend a Pact Magic spell slot to deal an extra 1d8 Force damage to the target, plus another 1d8 per level of the spell slot, and you can give the target the Prone condition if it is Huge or smaller."
Уровень 5: Единство с тенями,Level 5: One with Shadows
Уровень 5: Жаждающий клинок,Level 5: Thirsting Blade
Вы получаете особенность «Дополнительная атака» только для вашего оружия пакта. С этой особенностью вы можете сделать две атаки этим оружием вместо одной при выполнении действия Атака на своем ходу.,"You gain the Extra Attack feature for your pact weapon only. With that feature, you can attack twice with the weapon instead of once when you take the Attack action on your turn."
Уровень 5: Вложение хозяина цепи,Level 5: Investment of the Chain Master
Уровень 5: Дар глубин,Level 5: Gift of the Depths
Уровень 7: Шёпоты могилы,Level 7: Whispers of the Grave
Уровень 9: Дар защитников,Level 9: Gift of the Protectors
"Вы можете прочитать заклинание <LSTag Type=""Spell"" Tooltip=""Target_DeathWard"">Защита от смерти</LSTag> без затраты <LSTag Tooltip=""SpellSlot"">ячейки заклинания</LSTag>.","You can cast <LSTag Type=""Spell"" Tooltip=""Target_DeathWard"">Death Ward</LSTag> without expending a <LSTag Tooltip=""SpellSlot"">spell slot</LSTag>."
Требование: уровень 2+ колдун,Prerequisite: Level 2+ Warlock
"Требование: уровень 5+ колдун, инвокация «Пакт клинка»","Prerequisite: Level 5+ Warlock, Pact of the Blade Invocation"
Требование: уровень 5+ колдун,Prerequisite: Level 5+ Warlock
Требование: уровень 7+ колдун,Prerequisite: Level 7+ Warlock
"Требование: уровень 5+ колдун, инвокация «Пакт цепи»","Prerequisite: Level 5+ Warlock, Pact of the Chain Invocation"
"Требование: уровень 5+ колдун, инвокация «Пакт тома»","Prerequisite: Level 5+ Warlock, Pact of the Tome Invocation"
Требование: уровень 9+ колдун,Prerequisite: Level 9+ Warlock
Уровень 9: Пьющий жизнь,Level 9: Lifedrinker
"Раз в ход, когда вы поражаете существо своим оружием пакта, вы можете нанести этому существу дополнительный урон некротической энергией 1d6. Вы также восстанавливаете количество ОЗ, равное 1d6 плюс ваш модификатор Телосложения.","Once per turn, when you hit a creature with your pact weapon, you can deal an extra 1d6 Necrotic damage to that creature. You also regain a number of Hit Points equal to 1d6 plus your Constitution modifier."
"Требование: уровень 9+ колдун, инвокация «Пакт клинка»","Prerequisite: Level 9+ Warlock, Pact of the Blade Invocation"
Уровень 12: Пожирающий клинок,Level 12: Devouring Blade
Дополнительная атака вашей инвокации «Жаждающий клинок» предоставляет два дополнительных атаки вместо одного.,The Extra Attack of your Thirsting Blade invocation confers two extra attacks rather than one.
"Требование: уровень 12+ колдун, инвокация «Жаждающий клинок»","Prerequisite: Level 12+ Warlock, Thirsting Blade Invocation"
Уровень 1: Речь зверя,Level 1: Beast Speech
Уровень 1: Очаровательное влияние,Level 1: Beguiling Influence
Уровень 2: Вор пяти судеб,Level 2: Thief of Five Fates
Уровень 5: Трясина разума,Level 5: Mire the Mind
Уровень 5: Знамение дурной вести,Level 5: Sign of Ill Omen
Уровень 5: Книга древних тайн,Level 5: Book of Ancient Secrets
Уровень 7: Ужасающее слово,Level 7: Dreadful Word
Уровень 7: Скульптор плоти,Level 7: Sculptor of Flesh
Уровень 9: Прислужники хаоса,Level 9: Minions of Chaos
Зачарование: Подарок защитников,Invocation: Gift of the Protectors
Расщепление разума,Mind Sliver
"Вы пытаетесь временно расщепить разум одного существа, которое вы видите в пределах досягаемости. Цель должна преуспеть в испытании Интеллекта или получить урон разумом и вычесть 1к4 из следующего испытания, которое она совершит до конца вашего следующего хода.",You try to temporarily sliver the mind of one creature you can see within range. The target must succeed on an Intelligence saving throw or take Psychic damage and subtract 1d4 from the next saving throw it makes before the end of your next turn.
"Фокусы колдуна, наносящие урон и имеющие дистанцию, увеличивают свою дистанцию в 1.5 раза, когда вы накладываете их.",Warlock cantrips that deal damage and have a range have their range increased by 1.5 times when you cast them.
"Фокусы колдуна, требующие броска атаки: когда вы попадаете по Крупному или меньшему существу с таким фокусом, вы можете оттолкнуть существо на [1] прямо от себя.","Warlock cantrips that require an attack roll: when you hit a Large or smaller creature with such a cantrip, you can push the creature up to [1] directly away from you."
Потусторонний разряд,Eldritch Blast
Создайте [1] луч(и) трескающей энергии.,Conjure [1] beam(s) of crackling energy.
Громовой клинок,Booming Blade
"Нанесите удар оружием, поражая врага резонансом, который причиняет им урон на [1], когда они двигаются.","Strike with your weapon, afflicting your foe with a resonance that hurts them for [1] when they move."
Верный удар (Ближний бой),True Strike (Melee)
"Начертанный вспышкой магической проницательности, вы совершаете одну атаку оружием, использованным при накладывании заклинания. Атака использует вашу характеристику наложения заклинаний для бросков атаки и урона вместо Силы или Ловкости. Если атака наносит урон, это может быть урон излучением или обычный тип урона оружия (на ваш выбор).","Guided by a flash of magical insight, you make one attack with the weapon used in the spell’s casting. The attack uses your spellcasting ability for the attack and damage rolls instead of using Strength or Dexterity. If the attack deals damage, it can be Radiant damage or the weapon’s normal damage type (your choice)."
Верный удар (Дальний бой),True Strike (Ranged)
"Ваш <LSTag Type=""Spell"" Tooltip=""Target_FindFamiliar"">спутник</LSTag> получает Дополнительную атаку.","Your <LSTag Type=""Spell"" Tooltip=""Target_FindFamiliar"">familiar</LSTag> gains an Extra Attack."
"Вы можете накладывать <LSTag Type=""Spell"" Tooltip=""Target_AnimateDead"">Восставший труп</LSTag>, <LSTag Type=""Spell"" Tooltip=""Target_Haste"">Ускорение</LSTag> и <LSTag Type=""Spell"" Tooltip=""Target_CallLightning"">Призыв молнии</LSTag> по одному разу за долгий отдых.","You can cast <LSTag Type=""Spell"" Tooltip=""Target_AnimateDead"">Animate Dead</LSTag>, <LSTag Type=""Spell"" Tooltip=""Target_Haste"">Haste</LSTag>, and <LSTag Type=""Spell"" Tooltip=""Target_CallLightning"">Call Lightning</LSTag> once each per Long Rest."
Мистическое возмездие,Eldritch Smite
Мистическое возмездие: Реакция,Eldritch Smite: Reaction
Уровень 2: Учёный,Level 2: Scholar
"Изучая магию, вы также специализировались в другой области обучения. Выберите один из следующих навыков, в котором у вас есть умение: Магия, История, Расследование, Медицина, Природа или Религия. У вас есть Мастерство в выбранном навыке.","While studying magic, you also specialized in another field of study. Choose one of the following skills in which you have proficiency: Arcana, History, Investigation, Medicine, Nature, or Religion. You have Expertise in the chosen skill."
Уровень 2: Мастерство,Level 2: Expertise
"Вы получаете Мастерство (см. глоссарий правил) в двух навыках, в которых у вас есть умение, на свой выбор. Исполнение и Убеждение рекомендуются, если у вас есть умение в них.<br><br>На уровне барда 9 вы получаете Мастерство в двух других навыках, в которых у вас есть умение, на свой выбор.","You gain Expertise (see the rules glossary) in two of your skill proficiencies of your choice. Performance and Persuasion are recommended if you have proficiency in them.<br><br>At Bard level 9, you gain Expertise in two more of your skill proficiencies of your choice."
Уровень 10: Магические секреты,Level 10: Magical Secrets
